sp,mode
Cryptantha flava,wind
Heterotheca latifolia,wind
Hieracium aurantiacum,wind
Senecio jacobaea,wind
Agrostris hiemalis,wind
Apocynum sibirica,wind
Asclepias syriaca,wind
Carduus nutans,wind
Cirsium undulatum,wind
Liatris aspera,wind
Solidago rigida,wind
Tussilago farfara,wind
Amphicarpea bracteata,wind
Dipsacus sylvestris,wind
Gentianella germanica,wind
Lithospermum carolinense,wind
Panicum mileaceum,wind
Scabiosa columbaria,wind
Anthoxanthum odoratum,wind
Chaenorhinum minus,wind
Mimulus guttatus,wind
Mirabilis hirsuta,wind
Oenothera biennis,wind
Papaver argemone,wind
Papaver dubium,wind
Papaver hybridum,wind
Penstemon digitalis,wind
Verbena stricta,wind
Amphicarpaea bracteata,ballistic
Cardamine hirsuta,ballistic
Cassia fasiculata,ballistic
Crotalaria sp.,ballistic
Geranium maculatum,ballistic
Lepidium vulgare,ballistic
Lupinus texensis,ballistic
Impatiens capensis,ballistic
Phlox drummondii,ballistic
Phlox pilosa,ballistic
Viola papilionaceae,ballistic
Viola stricta,ballistic
Betula uber,wind
Fraxinus sp,wind
Lonchocarpus pentaphyllus,wind
Melaleuca quinquenervia,wind
Nuytsia florubunda,wind
Platypodium elegans,wind
Shorea contorta,wind
Acer saccharum,wind
Ateleia herbert-smithii,wind
Betula alleghaniensis,wind
Betula ermanii,wind
Betula papyrifera,wind
Eucalyptus regnans,wind
Fraxinus americana,wind
Abies procera,wind
Abies sp.,wind
Picea sitchensis,wind
Picea glauca,wind
Picea engelmannii,wind
Pinus palustris,wind
Pinus halapensis,wind
Pseudotsuga menziesii,wind
Tsuga heterophylla,wind
Tsuga mertensiana,wind
Andira inermis,endo
Hymenaea courbaril,cache
Macrozamia riedlei,endo
Virola surinamensis,endo
Juniperus virginiana,endo
Sambucus nigra,endo
Trichilia martiana,endo
Hura crepitans,ballistic
Acacia suaveolens,ant